,sentence,pos_tag,iob_ner
0,Tantangan Ketimpangan Ekonomi,"[('Tantangan', np.str_('NN')), ('Ketimpangan', np.str_('NNP')), ('Ekonomi', np.str_('NNP'))]","[('Tantangan', 'O'), ('Ketimpangan', 'B-ECONOMIC_INDICATOR'), ('Ekonomi', 'I-ECONOMIC_INDICATOR')]"
1,Doktor ekonomi dari UNU-MERIT/Maastricht University (Belanda).,"[('Doktor', np.str_('NN')), ('ekonomi', np.str_('NN')), ('dari', np.str_('IN')), ('UNU-MERIT', np.str_('NNP')), ('/', 'SYM'), ('Maastricht', np.str_('NNP')), ('University', np.str_('NNP')), ('(', 'SYM'), ('Belanda', np.str_('NNP')), (')', 'SYM'), ('.', 'SYM')]","[('Doktor', 'O'), ('ekonomi', 'O'), ('dari', 'O'), ('UNU-MERIT', 'O'), ('Maastricht', 'O'), ('University', 'O'), ('Belanda', 'O')]"
2,Alumni generasi pertama beasiswa LPDP master-doktor.,"[('Alumni', np.str_('NNP')), ('generasi', np.str_('NN')), ('pertama', np.str_('JJ')), ('beasiswa', np.str_('NN')), ('LPDP', np.str_('NNP')), ('master-doktor', np.str_('NN')), ('.', 'SYM')]","[('Alumni', 'O'), ('generasi', 'O'), ('pertama', 'O'), ('beasiswa', 'O'), ('LPDP', 'O'), ('master-doktor', 'O')]"
3,"Pernah bekerja di ASEAN Secretariat, Indonesia Mengajar, dan konsultan marketing.","[('Pernah', np.str_('ADV')), ('bekerja', np.str_('VB')), ('di', np.str_('IN')), ('ASEAN', np.str_('NNP')), ('Secretariat', np.str_('NNP')), (',', 'SYM'), ('Indonesia', np.str_('NNP')), ('Mengajar', np.str_('NNP')), (',', 'SYM'), ('dan', np.str_('CC')), ('konsultan', np.str_('NN')), ('marketing', np.str_('FW')), ('.', 'SYM')]","[('Pernah', 'O'), ('bekerja', 'O'), ('di', 'O'), ('ASEAN', 'B-NOR'), ('Secretariat', 'O'), ('Indonesia', 'O'), ('Mengajar', 'O'), ('dan', 'O'), ('konsultan', 'O'), ('marketing', 'O')]"
4,"Saat ini berkiprah sebagai akademisi, peneliti, dan konsultan.","[('Saat', np.str_('SC')), ('ini', np.str_('DT')), ('berkiprah', np.str_('VB')), ('sebagai', np.str_('IN')), ('akademisi', np.str_('NN')), (',', 'SYM'), ('peneliti', np.str_('NN')), (',', 'SYM'), ('dan', np.str_('CC')), ('konsultan', np.str_('NN')), ('.', 'SYM')]","[('Saat', 'O'), ('ini', 'O'), ('berkiprah', 'O'), ('sebagai', 'O'), ('akademisi', 'O'), ('peneliti', 'O'), ('dan', 'O'), ('konsultan', 'O')]"
5,"Tertarik dengan berbagai topik ekonomi, pembangunan berkelanjutan, pembangunan internasional, Asia Tenggara, monitoring-evaluasi, serta isu interdisiplin.","[('Tertarik', np.str_('VB')), ('dengan', np.str_('IN')), ('berbagai', np.str_('DT')), ('topik', np.str_('NN')), ('ekonomi', np.str_('NN')), (',', 'SYM'), ('pembangunan', np.str_('NN')), ('berkelanjutan', np.str_('VB')), (',', 'SYM'), ('pembangunan', np.str_('NN')), ('internasional', np.str_('JJ')), (',', 'SYM'), ('Asia', np.str_('NNP')), ('Tenggara', np.str_('NNP')), (',', 'SYM'), ('monitoring-evaluasi', np.str_('NN')), (',', 'SYM'), ('serta', np.str_('CC')), ('isu', np.str_('NN')), ('interdisiplin', np.str_('NN')), ('.', 'SYM')]","[('Tertarik', 'O'), ('dengan', 'O'), ('berbagai', 'O'), ('topik', 'O'), ('ekonomi', 'O'), ('pembangunan', 'O'), ('berkelanjutan', 'O'), ('pembangunan', 'O'), ('internasional', 'O'), ('Asia', 'B-GPE'), ('Tenggara', 'I-GPE'), ('monitoring-evaluasi', 'O'), ('serta', 'O'), ('isu', 'O'), ('interdisiplin', 'O')]"
6,Bisa dihubungi di ,"[('Bisa', np.str_('ADV')), ('dihubungi', np.str_('VB')), ('di', np.str_('IN'))]","[('Bisa', 'O'), ('dihubungi', 'O'), ('di', 'O')]"
7,"Berbicara mengenai pertumbuhan ekonomi, salah satu tantangan terbesar adalah bagaimana mewujudkan pertumbuhan inklusif.","[('Berbicara', np.str_('VB')), ('mengenai', np.str_('IN')), ('pertumbuhan', np.str_('NN')), ('ekonomi', np.str_('NN')), (',', 'SYM'), ('salah', np.str_('JJ')), ('satu', np.str_('NUM')), ('tantangan', np.str_('NN')), ('terbesar', np.str_('JJ')), ('adalah', np.str_('ADV')), ('bagaimana', np.str_('ADV')), ('mewujudkan', np.str_('VB')), ('pertumbuhan', np.str_('NN')), ('inklusif', np.str_('NN')), ('.', 'SYM')]","[('Berbicara', 'O'), ('mengenai', 'O'), ('pertumbuhan', 'B-ECONOMIC_INDICATOR'), ('ekonomi', 'I-ECONOMIC_INDICATOR'), ('salah', 'O'), ('satu', 'O'), ('tantangan', 'O'), ('terbesar', 'O'), ('adalah', 'O'), ('bagaimana', 'O'), ('mewujudkan', 'O'), ('pertumbuhan', 'B-ECONOMIC_INDICATOR'), ('inklusif', 'I-ECONOMIC_INDICATOR')]"
8,Pertumbuhan ekonomi inklusif berarti setiap individu dan kelompok masyarakat dapat merasakan manfaat pertumbuhan tersebut secara merata.,"[('Pertumbuhan', np.str_('NN')), ('ekonomi', np.str_('NN')), ('inklusif', np.str_('NN')), ('berarti', np.str_('VB')), ('setiap', np.str_('DT')), ('individu', np.str_('NN')), ('dan', np.str_('CC')), ('kelompok', np.str_('NN')), ('masyarakat', np.str_('NN')), ('dapat', np.str_('ADV')), ('merasakan', np.str_('VB')), ('manfaat', np.str_('NN')), ('pertumbuhan', np.str_('NN')), ('tersebut', np.str_('DT')), ('secara', np.str_('IN')), ('merata', np.str_('VB')), ('.', 'SYM')]","[('Pertumbuhan', 'B-ECONOMIC_INDICATOR'), ('ekonomi', 'I-ECONOMIC_INDICATOR'), ('inklusif', 'O'), ('berarti', 'O'), ('setiap', 'O'), ('individu', 'O'), ('dan', 'O'), ('kelompok', 'O'), ('masyarakat', 'O'), ('dapat', 'O'), ('merasakan', 'O'), ('manfaat', 'O'), ('pertumbuhan', 'B-ECONOMIC_INDICATOR'), ('tersebut', 'O'), ('secara', 'O'), ('merata', 'O')]"
9,"Pada September 2024, studi terbaru dari CELIOS dalam “Laporan Ketimpangan Ekonomi Indonesia 2024: Pesawat Jet untuk si Kaya, Sepeda untuk si Miskin” menunjukkan bahwa ketimpangan di Indonesia telah mencapai tingkat mengkhawatirkan.","[('Pada', np.str_('IN')), ('September', np.str_('NNP')), ('2024', np.str_('NUM')), (',', 'SYM'), ('studi', np.str_('NN')), ('terbaru', np.str_('JJ')), ('dari', np.str_('IN')), ('CELIOS', np.str_('NNP')), ('dalam', np.str_('IN')), ('""', 'SYM'), ('Laporan', np.str_('NNP')), ('Ketimpangan', np.str_('NN')), ('Ekonomi', np.str_('NNP')), ('Indonesia', np.str_('NNP')), ('2024', np.str_('NUM')), (':', 'SYM'), ('Pesawat', np.str_('NNP')), ('Jet', np.str_('NNP')), ('untuk', np.str_('SC')), ('si', np.str_('DT')), ('Kaya', np.str_('NNP')), (',', 'SYM'), ('Sepeda', np.str_('NNP')), ('untuk', np.str_('IN')), ('si', np.str_('DT')), ('Miskin', np.str_('NNP')), ('""', 'SYM'), ('menunjukkan', np.str_('VB')), ('bahwa', np.str_('SC')), ('ketimpangan', np.str_('NN')), ('di', np.str_('IN')), ('Indonesia', np.str_('NNP')), ('telah', np.str_('ADV')), ('mencapai', np.str_('VB')), ('tingkat', np.str_('NN')), ('mengkhawatirkan', np.str_('VB')), ('.', 'SYM')]","[('Pada', 'O'), ('September', 'B-DAT'), ('2024', 'I-DAT'), ('studi', 'O'), ('terbaru', 'O'), ('dari', 'O'), ('CELIOS', 'O'), ('dalam', 'O'), ('Laporan', 'O'), ('Ketimpangan', 'B-ECONOMIC_INDICATOR'), ('Ekonomi', 'I-ECONOMIC_INDICATOR'), ('Indonesia', 'I-PRD'), ('2024', 'B-DAT'), ('Pesawat', 'B-PRD'), ('Jet', 'I-PRD'), ('untuk', 'O'), ('si', 'O'), ('Kaya', 'O'), ('Sepeda', 'B-PRD'), ('untuk', 'O'), ('si', 'O'), ('Miskin', 'O'), ('menunjukkan', 'O'), ('bahwa', 'O'), ('ketimpangan', 'B-ECONOMIC_INDICATOR'), ('di', 'O'), ('Indonesia', 'B-GPE'), ('telah', 'O'), ('mencapai', 'O'), ('tingkat', 'B-ECONOMIC_INDICATOR'), ('mengkhawatirkan', 'O')]"
