,sentence,pos_tag
0,Tantangan Ketimpangan Ekonomi,"[('Tantangan', 'PROPN'), ('Ketimpangan', 'PROPN'), ('Ekonomi', 'PROPN')]"
1,Doktor ekonomi dari UNU-MERIT/Maastricht University Belanda.,"[('Doktor', 'NOUN'), ('ekonomi', 'NOUN'), ('dari', 'ADP'), ('UNU-MERIT', 'PROPN'), ('/Maastricht', 'PROPN'), ('University', 'PROPN'), ('Belanda', 'PROPN'), ('.', 'PUNCT')]"
2,Alumni generasi pertama beasiswa LPDP master-doktor.,"[('Alumni', 'PROPN'), ('generasi', 'NOUN'), ('pertama', 'ADJ'), ('beasiswa', 'NOUN'), ('LPDP', 'NOUN'), ('master-doktor', 'NOUN'), ('.', 'PUNCT')]"
3,Pernah bekerja di ASEAN Secretariat Indonesia Mengajar dan konsultan marketing.,"[('Pernah', 'ADV'), ('bekerja', 'VERB'), ('di', 'ADP'), ('ASEAN', 'PROPN'), ('Secretariat', 'PROPN'), ('Indonesia', 'PROPN'), ('Mengajar', 'PROPN'), ('dan', 'CCONJ'), ('konsultan', 'NOUN'), ('marketing', 'NOUN'), ('.', 'PUNCT')]"
4,Saat ini berkiprah sebagai akademisi peneliti dan konsultan.,"[('Saat', 'NOUN'), ('ini', 'DET'), ('berkiprah', 'VERB'), ('sebagai', 'ADP'), ('akademisi', 'NOUN'), ('peneliti', 'NOUN'), ('dan', 'CCONJ'), ('konsultan', 'NOUN'), ('.', 'PUNCT')]"
5,Tertarik dengan berbagai topik ekonomi pembangunan berkelanjutan pembangunan internasional Asia Tenggara monitoring-evaluasi serta isu interdisiplin.,"[('Tertarik', 'VERB'), ('dengan', 'ADP'), ('berbagai', 'DET'), ('topik', 'NOUN'), ('ekonomi', 'NOUN'), ('pembangunan', 'NOUN'), ('berkelanjutan', 'VERB'), ('pembangunan', 'NOUN'), ('internasional', 'ADJ'), ('Asia', 'PROPN'), ('Tenggara', 'PROPN'), ('monitoring-evaluasi', 'NOUN'), ('serta', 'CCONJ'), ('isu', 'NOUN'), ('interdisiplin', 'ADJ'), ('.', 'PUNCT')]"
6,Bisa dihubungi di ,"[('Bisa', 'AUX'), ('dihubungi', 'VERB'), ('di', 'ADP')]"
7,BERBICARA mengenai pertumbuhan ekonomi salah satu tantangan terbesar adalah bagaimana mewujudkan pertumbuhan inklusif.,"[('BERBICARA', 'NOUN'), ('mengenai', 'ADP'), ('pertumbuhan', 'NOUN'), ('ekonomi', 'NOUN'), ('salah', 'ADJ'), ('satu', 'NUM'), ('tantangan', 'NOUN'), ('terbesar', 'ADJ'), ('adalah', 'AUX'), ('bagaimana', 'ADV'), ('mewujudkan', 'VERB'), ('pertumbuhan', 'NOUN'), ('inklusif', 'ADJ'), ('.', 'PUNCT')]"
8,Pertumbuhan ekonomi inklusif berarti setiap individu dan kelompok masyarakat dapat merasakan manfaat pertumbuhan tersebut secara merata.,"[('Pertumbuhan', 'NOUN'), ('ekonomi', 'NOUN'), ('inklusif', 'ADJ'), ('berarti', 'VERB'), ('setiap', 'DET'), ('individu', 'NOUN'), ('dan', 'CCONJ'), ('kelompok', 'NOUN'), ('masyarakat', 'NOUN'), ('dapat', 'AUX'), ('merasakan', 'VERB'), ('manfaat', 'NOUN'), ('pertumbuhan', 'NOUN'), ('tersebut', 'DET'), ('secara', 'ADP'), ('merata', 'ADJ'), ('.', 'PUNCT')]"
9,Pada September 2024 studi terbaru dari CELIOS dalam Laporan Ketimpangan Ekonomi Indonesia 2024: Pesawat Jet untuk si Kaya Sepeda untuk si Miskin menunjukkan bahwa ketimpangan di Indonesia telah mencapai tingkat mengkhawatirkan.,"[('Pada', 'ADP'), ('September', 'NOUN'), ('2024', 'NUM'), ('studi', 'NOUN'), ('terbaru', 'ADJ'), ('dari', 'ADP'), ('CELIOS', 'PROPN'), ('dalam', 'ADP'), ('Laporan', 'NOUN'), ('Ketimpangan', 'PROPN'), ('Ekonomi', 'PROPN'), ('Indonesia', 'PROPN'), ('2024', 'NUM'), (':', 'PUNCT'), ('Pesawat', 'PROPN'), ('Jet', 'PROPN'), ('untuk', 'ADP'), ('si', 'DET'), ('Kaya', 'PROPN'), ('Sepeda', 'PROPN'), ('untuk', 'ADP'), ('si', 'DET'), ('Miskin', 'NOUN'), ('menunjukkan', 'VERB'), ('bahwa', 'SCONJ'), ('ketimpangan', 'NOUN'), ('di', 'ADP'), ('Indonesia', 'PROPN'), ('telah', 'AUX'), ('mencapai', 'VERB'), ('tingkat', 'NOUN'), ('mengkhawatirkan', 'VERB'), ('.', 'PUNCT')]"
