,sentence
0,Tantangan Ketimpangan Ekonomi
1,Doktor ekonomi dari UNU-MERIT/Maastricht University (Belanda).
2,Alumni generasi pertama beasiswa LPDP master-doktor.
3,"Pernah bekerja di ASEAN Secretariat, Indonesia Mengajar, dan konsultan marketing."
4,"Saat ini berkiprah sebagai akademisi, peneliti, dan konsultan."
5,"Tertarik dengan berbagai topik ekonomi, pembangunan berkelanjutan, pembangunan internasional, Asia Tenggara, monitoring-evaluasi, serta isu interdisiplin."
6,Bisa dihubungi di 
7,"Berbicara mengenai pertumbuhan ekonomi, salah satu tantangan terbesar adalah bagaimana mewujudkan pertumbuhan inklusif."
8,Pertumbuhan ekonomi inklusif berarti setiap individu dan kelompok masyarakat dapat merasakan manfaat pertumbuhan tersebut secara merata.
9,"Pada September 2024, studi terbaru dari CELIOS dalam “Laporan Ketimpangan Ekonomi Indonesia 2024: Pesawat Jet untuk si Kaya, Sepeda untuk si Miskin” menunjukkan bahwa ketimpangan di Indonesia telah mencapai tingkat mengkhawatirkan."
10,Kekayaan 50 orang terkaya di negara ini setara dengan kekayaan 50 juta warga Indonesia.
11,Data dari Bank Dunia menunjukkan hal menarik.
12,"Sepuluh persen orang terkaya memiliki kontribusi 29,9% dari total kekayaan."
13,"Ini meningkat dari tahun 2000, yaitu sebesar 25,6%."
14,"Meski sempat mencapai titik tertinggi pada 2013 dan 2014, yaitu 31,5%, kemudian mencapai 27,9% pada 2020, namun kembali naik pada 2021 hingga 2023."
15,Dapat disimpulkan bahwa angka dominasi 10% orang terkaya cenderung tidak turun.
16,"Fakta lain menunjukkan bahwa 20% kelompok termiskin hanya memiliki kontribusi sebesar 7,9% pada 2023."
17,"Persentase ini turun dari 9,2 pada 2000."
18,"Secara umum, belum terjadi perubahan signifikan dalam distribusi antara kelompok kaya dan kelompok miskin."
19,"Namun, perlu digarisbawahi bahwa data tersebut didasarkan pada indikator konsumsi."
20,Ketimpangan yang diukur menggunakan indikator konsumsi biasanya lebih rendah dibandingkan dengan ketimpangan yang diukur berdasarkan data pendapatan.
