,sentence,pos_tag
0,Tantangan Ketimpangan Ekonomi,"[('Tantangan', 'NN'), ('Ketimpangan', 'NNP'), ('Ekonomi', 'NNP')]"
1,Doktor ekonomi dari UNU-MERIT/Maastricht University Belanda.,"[('Doktor', 'NN'), ('ekonomi', 'NN'), ('dari', 'IN'), ('UNU-MERIT', 'NNP'), ('/', 'SYM'), ('Maastricht', 'NNP'), ('University', 'NNP'), ('Belanda', 'NNP'), ('.', 'SYM')]"
2,Alumni generasi pertama beasiswa LPDP master-doktor.,"[('Alumni', 'NNP'), ('generasi', 'NN'), ('pertama', 'JJ'), ('beasiswa', 'NN'), ('LPDP', 'NNP'), ('master-doktor', 'NN'), ('.', 'SYM')]"
3,Pernah bekerja di ASEAN Secretariat Indonesia Mengajar dan konsultan marketing.,"[('Pernah', 'ADV'), ('bekerja', 'VB'), ('di', 'IN'), ('ASEAN', 'NNP'), ('Secretariat', 'NNP'), ('Indonesia', 'NNP'), ('Mengajar', 'NNP'), ('dan', 'CC'), ('konsultan', 'NN'), ('marketing', 'FW'), ('.', 'SYM')]"
4,Saat ini berkiprah sebagai akademisi peneliti dan konsultan.,"[('Saat', 'SC'), ('ini', 'DT'), ('berkiprah', 'VB'), ('sebagai', 'IN'), ('akademisi', 'NN'), ('peneliti', 'NN'), ('dan', 'CC'), ('konsultan', 'NN'), ('.', 'SYM')]"
5,Tertarik dengan berbagai topik ekonomi pembangunan berkelanjutan pembangunan internasional Asia Tenggara monitoring-evaluasi serta isu interdisiplin.,"[('Tertarik', 'VB'), ('dengan', 'IN'), ('berbagai', 'DT'), ('topik', 'NN'), ('ekonomi', 'NN'), ('pembangunan', 'NN'), ('berkelanjutan', 'VB'), ('pembangunan', 'NN'), ('internasional', 'JJ'), ('Asia', 'NNP'), ('Tenggara', 'NNP'), ('monitoring-evaluasi', 'NN'), ('serta', 'CC'), ('isu', 'NN'), ('interdisiplin', 'NN'), ('.', 'SYM')]"
6,Bisa dihubungi di ,"[('Bisa', 'ADV'), ('dihubungi', 'VB'), ('di', 'IN')]"
7,BERBICARA mengenai pertumbuhan ekonomi salah satu tantangan terbesar adalah bagaimana mewujudkan pertumbuhan inklusif.,"[('BERBICARA', 'NNP'), ('mengenai', 'IN'), ('pertumbuhan', 'NN'), ('ekonomi', 'NN'), ('salah', 'JJ'), ('satu', 'NUM'), ('tantangan', 'NN'), ('terbesar', 'JJ'), ('adalah', 'ADV'), ('bagaimana', 'ADV'), ('mewujudkan', 'VB'), ('pertumbuhan', 'NN'), ('inklusif', 'NN'), ('.', 'SYM')]"
8,Pertumbuhan ekonomi inklusif berarti setiap individu dan kelompok masyarakat dapat merasakan manfaat pertumbuhan tersebut secara merata.,"[('Pertumbuhan', 'NN'), ('ekonomi', 'NN'), ('inklusif', 'NN'), ('berarti', 'VB'), ('setiap', 'DT'), ('individu', 'NN'), ('dan', 'CC'), ('kelompok', 'NN'), ('masyarakat', 'NN'), ('dapat', 'ADV'), ('merasakan', 'VB'), ('manfaat', 'NN'), ('pertumbuhan', 'NN'), ('tersebut', 'DT'), ('secara', 'IN'), ('merata', 'VB'), ('.', 'SYM')]"
9,Pada September 2024 studi terbaru dari CELIOS dalam Laporan Ketimpangan Ekonomi Indonesia 2024: Pesawat Jet untuk si Kaya Sepeda untuk si Miskin menunjukkan bahwa ketimpangan di Indonesia telah mencapai tingkat mengkhawatirkan.,"[('Pada', 'IN'), ('September', 'NNP'), ('2024', 'NUM'), ('studi', 'NN'), ('terbaru', 'JJ'), ('dari', 'IN'), ('CELIOS', 'NNP'), ('dalam', 'IN'), ('Laporan', 'NNP'), ('Ketimpangan', 'NNP'), ('Ekonomi', 'NNP'), ('Indonesia', 'NNP'), ('2024', 'NUM'), (':', 'SYM'), ('Pesawat', 'NNP'), ('Jet', 'NNP'), ('untuk', 'SC'), ('si', 'DT'), ('Kaya', 'NNP'), ('Sepeda', 'NNP'), ('untuk', 'SC'), ('si', 'DT'), ('Miskin', 'NNP'), ('menunjukkan', 'VB'), ('bahwa', 'SC'), ('ketimpangan', 'NN'), ('di', 'IN'), ('Indonesia', 'NNP'), ('telah', 'ADV'), ('mencapai', 'VB'), ('tingkat', 'NN'), ('mengkhawatirkan', 'VB'), ('.', 'SYM')]"
