,tokens,ner_tags
2424,"['Seorang', 'anggota', 'Polda', 'Bangka', 'Belitung', 'ditemukan', 'tewas', 'dalam', 'keadaan', 'tergantung', 'di', 'kediaman', 'nya', 'di', 'Tanjung', 'Bunga', 'Kelurahan', 'Sinar', 'Bulan', 'Pangkalpinang']","[0, 11, 11, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 7, 3, 15, 15, 15]"
2241,"['Hal', 'ini', 'terlihat', 'dari', 'capaian', 'surplus', 'pada', 'neraca', 'transaksi', 'ekonomi', 'internasional', 'Indonesia']","[0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 3]"
461,"['Sementara', 'konsumsi', 'rumah', 'tangga', 'menjadi', 'penyumbang', 'utama', 'pertumbuhan', 'ekonomi']","[0, 0, 0, 0, 0, 0, 0, 12, 16]"
2539,"['Penghargaan', 'ini', 'juga', 'menjadi', 'pengakuan', 'dan', 'kepercayaan', 'dari', 'stakeholder', 'kami', 'bahwa', 'Bank', 'Mandiri', 'menghadirkan', 'solusi', 'keuangan', 'terlengkap', 'dan', 'terbaik', 'di', 'Indonesia', 'kata', 'nya']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0]"
157,"['Pertumbuhan', 'Ekonomi', 'Kuartal', 'III-2024', 'Ditopang', 'Pertumbuhan', 'Konsumsi', 'Rumah', 'Tanga']","[12, 16, 0, 0, 0, 12, 16, 0, 17]"
2274,"['Dukungan', 'ini', 'akan', 'menjadi', 'solusi', 'bagi', 'tantangan', 'yang', 'mereka', 'hadapi', 'di', 'wilayah', 'masing-masing', 'ucap', 'nya']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1474,"['Cuaca', 'Ekstrem', 'Sebabkan', 'Kerugian', '2', 'Triliun', 'Dollar', 'AS', 'Selama', 'Dekade', 'Terakhir']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
644,"['Anggaran', 'yang', 'disiapkan', 'pemerintah', 'untuk', 'program', 'ini', 'mencapai', 'Rp', '51,53', 'triliun']","[0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0]"
238,"['Di', 'dalam', 'nya', 'terdapat', 'fasilitas', 'meliputi', 'sarana', 'akomodasi', 'yang', 'terdiri', 'dari', 'hotel', 'bintang', '4', 'dan', '5', 'premium', 'villa', 'resort', 'Ethnobotanical', 'Garden', 'Convention', 'Centre', 'bertaraf', 'Internasional', 'Area', 'Komersial', 'Sentra', 'UMKM', 'serta', 'berbagai', 'fasilitas', 'pendukung', 'dengan', 'teknologi', 'terkini']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 14, 7, 7, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19]"
2037,"['Kini', 'ada', 'makin', 'banyak', 'platform', 'yang', 'menggunakan', 'sistem', 'deteksi', 'penipuan', 'yang', 'didukung', 'AI', 'serta', 'upaya', 'kepatuhan', 'untuk', 'meningkatkan', 'kepercayaan', 'pengguna']","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1058,"['Sebagian', 'orang', 'berhenti', 'berbelanja', 'sementara', 'yang', 'lain', 'mencari', 'alternatif', 'lebih', 'murah']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1736,"['Pada', 'tanggal', '5', 'November', '2024', 'Presiden', 'Prabowo', 'Subianto', 'menandatangani', 'Peraturan', 'Pemerintah', 'PP', 'Nomor', '47', 'Tahun', '2024', 'yang', 'mengatur', 'penghapusan', 'utang', 'macet', 'bagi', 'usaha', 'mikro', 'kecil', 'dan', 'menengah', 'UMKM', 'di', 'sektor', 'pertanian', 'perkebunan', 'peternakan', 'perikanan', 'kelautan', 'serta', 'sektor', 'UMKM', 'lain', 'nya', 'seperti', 'mode', 'busana', 'kuliner', 'dan', 'industri', 'kreatif']","[0, 0, 5, 17, 17, 0, 6, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
100,"['PPATK', 'juga', 'mendukung', 'upaya', 'pemberantasan', 'judi', 'online', 'melalui', 'hasil', 'analisis', 'sebanyak', '10', 'laporan', 'hasil', 'analisis', 'dengan', 'total', 'perputaran', 'dana', 'Rp', '13,2', 'triliun', 'ujar', 'Ivan', 'dalam', 'rapat', 'Komisi', 'III', 'DPR', 'RI', 'di', 'Kompleks', 'Parlemen', 'Jakarta', 'Rabu', '6/11/2024']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17]"
315,"['CEO', 'Eramet', 'Indonesia', 'Jerome', 'Baudelet', 'memprediksi', 'Indonesia', 'akan', 'menjadi', 'produsen', 'nikel', 'terbesar', 'di', 'dunia', 'dalam', '10', 'tahun', 'ke', 'depan']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
1614,"['Jadi', 'kita', 'perlu', 'strategi', 'ini', 'strategi', 'jangka', 'pendek', 'tahunan', 'dan', 'jangka', 'menengah', 'untuk', 'bisa', 'memastikan', 'pertumbuhan', 'ekonomi', 'kita', 'keluar', 'dari', 'zona', 'stagnasi', '5', '%', 'ujar', 'nya', 'dalam', 'diskusi', 'virtual', 'Senin', '18/11/2024']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 16, 0, 0, 0, 0, 0, 21, 22, 0, 0, 0, 0, 0, 5, 17]"
2313,"['Ia', 'hanya', 'menegaskan', 'jika', 'nantinya', 'ada', 'besaran', 'nilai', 'konstanta', 'yang', 'dijadikan', 'salah', 'satu', 'poin', 'penghitungan', 'UMP', 'maka', 'ada', 'kemungkinan', 'bisa', 'dinaikkan']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1837,"['Itu', 'lah', 'peran', 'penting', 'investasi', 'bagi', 'pertumbuhan', 'startup', 'dan', 'tip', 'mempersiapkan', 'bisnis', 'rintisan', 'agar', 'mendapatkan', 'investasi']","[0, 0, 0, 0, 13, 0, 12, 16, 0, 0, 0, 0, 0, 0, 0, 13]"
841,"['Dalam', 'workshop', 'peserta', 'diajak', 'mendalami', 'ilmu', 'bisnis', 'di', 'bidang', 'food', 'and', 'beverage']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 19, 19]"
261,"['Menteri', 'Ekonomi', 'Kreatif', 'Teuku', 'Riefky', 'Harsya', 'mengajak', 'seluruh', 'pemangku', 'kepentingan', 'untuk', 'mendukung', 'ekonomi', 'kreatif', 'sebagai', 'mesin', 'pertumbuhan', 'baru', 'bagi', 'ekonomi', 'nasional']","[11, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 8]"
2726,"['Begitu', 'pula', 'pada', 'pasar', 'saham', 'secara', 'keseluruhan', 'tahun', 'berjalan', 'tercatat', 'total', 'dana', 'asing', 'masuk', 'melalui', 'pasar', 'saham', 'mencapai', 'Rp', '38,51', 'triliun']","[0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0]"
2287,"['Inovasi', 'teknologi', 'pengeringan', 'rumput', 'laut', 'merupakan', 'bagian', 'dari', 'program', 'Smart', 'Fisheries', 'Village', 'SFV', 'Mekanisasi', 'Perikanan', 'yang', 'dikembangkan', 'oleh', 'Loka', 'Riset', 'Mekanisasi', 'Pengolahan', 'Hasil', 'Perikanan', 'LRMPHP', 'Bantul']","[0, 1, 19, 19, 19, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9]"
2442,"['Cadangan', 'Devisa', 'Oktober', 'Naik', 'Jadi', '151,2', 'Miliar', 'Dollar', 'AS', 'Cetak', 'Rekor', 'Tertinggi', 'Sepanjang', 'Sejarah']","[0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1089,"['Masyarakat', 'Desa', 'Sentral', 'Baru', 'Kecamatan', 'Bermani', 'Ulu', 'Kabupaten', 'Rejang', 'Provinsi', 'Bengkulu', 'kini', 'semakin', 'dekat', 'dengan', 'layanan', 'perbankan', 'berkat', 'kehadiran', 'Agen', 'BRILink', 'milik', 'Riswan', 'Nurhadi']","[0, 3, 15, 15, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8]"
179,"['Sejak', 'pertama', 'kali', 'diadakan', 'pada', 'tahun', '2006', 'forum', 'ini', 'telah', 'menjadi', 'platform', 'strategis', 'bagi', 'para', 'pemimpin', 'dunia', 'akademisi', 'dan', 'berbagai', 'pemangku', 'kepentingan', 'lintas', 'sektor', 'untuk', 'membahas', 'isu-isu', 'global', 'penting']","[0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2025,"['Kondisi', 'ini', 'tercapai', 'seiring', 'dengan', 'terus', 'berinovasi', 'nya', 'platform', 'e-commerce', 'besar', 'yang', 'juga', 'menawarkan', 'fitur-fitur', 'baru', 'seperti', 'video', 'commerce', 'untuk', 'meningkatkan', 'pengalaman', 'pengguna', 'dalam', 'berbelanja']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
1179,"['Itu', 'yang', 'kita', 'juga', 'sedang', 'pelajari', 'apakah', 'akan', 'ada', 'dampak', 'nya', 'apakah', 'signifikan', 'atau', 'tidak', 'ujar', 'Henry']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6]"
1174,"['Kita', 'juga', 'mungkin', 'akan', 'ada', 'program', 'maupun', 'juga', 'ada', 'aktivitas-aktivitas', 'yang', 'bisa', 'membuat', 'konsumen', 'itu', 'lebih', 'mudah', 'memiliki', 'kendaraan', 'ujar', 'nya']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
